,CIK,Company Name,Form Type,Date Filed,Filename,Is Loan Agreement
0,1000045,NICHOLAS FINANCIAL INC,8-K,2020-07-09,https://www.sec.gov/Archives/edgar/data/1000045/0001564590-20-032079.txt,False
1,1000045,NICHOLAS FINANCIAL INC,8-K,2020-07-30,https://www.sec.gov/Archives/edgar/data/1000045/0001564590-20-034530.txt,False
2,1000045,NICHOLAS FINANCIAL INC,8-K,2020-08-27,https://www.sec.gov/Archives/edgar/data/1000045/0001564590-20-041549.txt,False
3,1000209,MEDALLION FINANCIAL CORP,8-K,2020-07-30,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-20-204176.txt,False
4,1000209,MEDALLION FINANCIAL CORP,8-K,2020-08-03,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-20-207543.txt,False
5,1000209,MEDALLION FINANCIAL CORP,8-K,2020-08-03,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-20-208079.txt,False
6,1000209,MEDALLION FINANCIAL CORP,8-K,2020-09-03,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-20-239059.txt,True
7,1000209,MEDALLION FINANCIAL CORP,8-K,2020-09-15,https://www.sec.gov/Archives/edgar/data/1000209/0001564590-20-043626.txt,True
8,1000209,MEDALLION FINANCIAL CORP,8-K,2020-09-24,https://www.sec.gov/Archives/edgar/data/1000209/0001564590-20-044519.txt,True
9,1000228,HENRY SCHEIN INC,8-K,2020-08-04,https://www.sec.gov/Archives/edgar/data/1000228/0001000228-20-000053.txt,False
10,1000228,HENRY SCHEIN INC,8-K,2020-08-12,https://www.sec.gov/Archives/edgar/data/1000228/0001193125-20-217044.txt,False
11,1000229,CORE LABORATORIES N V,8-K,2020-07-17,https://www.sec.gov/Archives/edgar/data/1000229/0001564590-20-032606.txt,False
12,1000229,CORE LABORATORIES N V,8-K,2020-07-22,https://www.sec.gov/Archives/edgar/data/1000229/0001564590-20-033072.txt,True
13,1000230,OPTICAL CABLE CORP,8-K,2020-07-30,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-20-016038.txt,True
14,1000230,OPTICAL CABLE CORP,8-K,2020-09-14,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-20-019665.txt,False
15,1000232,KENTUCKY BANCSHARES INC /KY/,8-K,2020-07-31,https://www.sec.gov/Archives/edgar/data/1000232/0001558370-20-008851.txt,False
16,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2020-07-09,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-20-082381.txt,False
17,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2020-07-10,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-20-082748.txt,False
18,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2020-08-06,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-20-091502.txt,False
19,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2020-07-06,https://www.sec.gov/Archives/edgar/data/1000623/0001000623-20-000111.txt,False
20,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2020-08-05,https://www.sec.gov/Archives/edgar/data/1000623/0001000623-20-000121.txt,False
21,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2020-08-07,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-20-020798.txt,False
22,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2020-08-11,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-20-021439.txt,False
23,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2020-08-20,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-20-023000.txt,False
24,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2020-09-02,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-20-025039.txt,False
25,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2020-09-04,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-20-025400.txt,False
26,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2020-09-23,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-20-027979.txt,False
27,1000694,NOVAVAX INC,8-K,2020-07-10,https://www.sec.gov/Archives/edgar/data/1000694/0001104659-20-082788.txt,False
