,CIK,Company Name,Form Type,Date Filed,Filename,Is Loan Agreement
0,1000045,NICHOLAS FINANCIAL INC,8-K,2022-05-10,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-22-009069.txt,False
1,1000045,NICHOLAS FINANCIAL INC,8-K,2022-05-24,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-22-010534.txt,False
2,1000045,NICHOLAS FINANCIAL INC,8-K,2022-05-25,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-22-010671.txt,False
3,1000045,NICHOLAS FINANCIAL INC,8-K,2022-06-23,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-22-011991.txt,False
4,1000209,MEDALLION FINANCIAL CORP,8-K,2022-04-29,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-22-130889.txt,False
5,1000209,MEDALLION FINANCIAL CORP,8-K,2022-05-02,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-22-136807.txt,False
6,1000209,MEDALLION FINANCIAL CORP,8-K,2022-05-02,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-22-136840.txt,False
7,1000209,MEDALLION FINANCIAL CORP,8-K,2022-06-07,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-22-169281.txt,False
8,1000209,MEDALLION FINANCIAL CORP,8-K,2022-06-15,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-22-174791.txt,False
9,1000228,HENRY SCHEIN INC,8-K,2022-04-04,https://www.sec.gov/Archives/edgar/data/1000228/0001193125-22-094333.txt,False
10,1000228,HENRY SCHEIN INC,8-K,2022-05-03,https://www.sec.gov/Archives/edgar/data/1000228/0001000228-22-000030.txt,False
11,1000228,HENRY SCHEIN INC,8-K,2022-05-20,https://www.sec.gov/Archives/edgar/data/1000228/0001193125-22-156133.txt,False
12,1000229,CORE LABORATORIES N V,8-K,2022-04-27,https://www.sec.gov/Archives/edgar/data/1000229/0000950170-22-006392.txt,False
13,1000229,CORE LABORATORIES N V,8-K,2022-05-19,https://www.sec.gov/Archives/edgar/data/1000229/0000950170-22-010348.txt,False
14,1000229,CORE LABORATORIES N V,8-K,2022-06-08,https://www.sec.gov/Archives/edgar/data/1000229/0000950170-22-011336.txt,False
15,1000229,CORE LABORATORIES N V,8-K,2022-06-09,https://www.sec.gov/Archives/edgar/data/1000229/0001193125-22-170676.txt,False
16,1000230,OPTICAL CABLE CORP,8-K,2022-06-14,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-22-014966.txt,False
17,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-04-04,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-042289.txt,False
18,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-04-29,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-053641.txt,False
19,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-05-12,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-059514.txt,False
20,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2022-06-23,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-22-073749.txt,False
21,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2022-04-25,https://www.sec.gov/Archives/edgar/data/1000623/0001000623-22-000018.txt,False
22,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2022-04-26,https://www.sec.gov/Archives/edgar/data/1000623/0001104659-22-050321.txt,False
23,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2022-05-04,https://www.sec.gov/Archives/edgar/data/1000623/0001000623-22-000030.txt,False
24,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2022-05-09,https://www.sec.gov/Archives/edgar/data/1000623/0001193125-22-144437.txt,True
25,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2022-05-17,https://www.sec.gov/Archives/edgar/data/1000623/0001193125-22-153091.txt,False
26,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2022-06-21,https://www.sec.gov/Archives/edgar/data/1000623/0001193125-22-177054.txt,False
27,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2022-06-21,https://www.sec.gov/Archives/edgar/data/1000623/0001193125-22-177666.txt,False
28,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2022-06-29,https://www.sec.gov/Archives/edgar/data/1000623/0001193125-22-185048.txt,False
29,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-04-08,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-018966.txt,True
30,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-05-05,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-024296.txt,True
31,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-05-06,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-024415.txt,False
32,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-05-16,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-027143.txt,False
33,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-05-23,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-029040.txt,False
34,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-05-26,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-029774.txt,False
35,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-06-01,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-030729.txt,False
36,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-06-06,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-031372.txt,False
37,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-06-15,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-033063.txt,True
38,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2022-06-24,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-22-034892.txt,False
39,1000694,NOVAVAX INC,8-K,2022-04-20,https://www.sec.gov/Archives/edgar/data/1000694/0001104659-22-047695.txt,False
40,1000694,NOVAVAX INC,8-K,2022-05-10,https://www.sec.gov/Archives/edgar/data/1000694/0001104659-22-058315.txt,False
41,1000694,NOVAVAX INC,8-K,2022-06-21,https://www.sec.gov/Archives/edgar/data/1000694/0001104659-22-072966.txt,False
42,1000697,WATERS CORP /DE/,8-K,2022-04-01,https://www.sec.gov/Archives/edgar/data/1000697/0001193125-22-092984.txt,False
43,1000697,WATERS CORP /DE/,8-K,2022-05-03,https://www.sec.gov/Archives/edgar/data/1000697/0001193125-22-137552.txt,False
44,1000697,WATERS CORP /DE/,8-K,2022-05-19,https://www.sec.gov/Archives/edgar/data/1000697/0001193125-22-154540.txt,False
45,1000697,WATERS CORP /DE/,8-K,2022-05-25,https://www.sec.gov/Archives/edgar/data/1000697/0001193125-22-159800.txt,False
46,1000753,"INSPERITY, INC.",8-K,2022-04-26,https://www.sec.gov/Archives/edgar/data/1000753/0001000753-22-000019.txt,False
47,1000753,"INSPERITY, INC.",8-K,2022-05-26,https://www.sec.gov/Archives/edgar/data/1000753/0001000753-22-000026.txt,False
48,1001082,DISH Network CORP,8-K,2022-05-03,https://www.sec.gov/Archives/edgar/data/1001082/0001001082-22-000017.txt,False
49,1001082,DISH Network CORP,8-K,2022-06-21,https://www.sec.gov/Archives/edgar/data/1001082/0001001082-22-000020.txt,False
50,1001082,DISH Network CORP,8-K,2022-06-23,https://www.sec.gov/Archives/edgar/data/1001082/0001001082-22-000024.txt,False
51,1001115,GEOSPACE TECHNOLOGIES CORP,8-K,2022-04-28,https://www.sec.gov/Archives/edgar/data/1001115/0001193125-22-125707.txt,False
52,1001115,GEOSPACE TECHNOLOGIES CORP,8-K,2022-05-10,https://www.sec.gov/Archives/edgar/data/1001115/0001193125-22-145933.txt,True
53,1001115,GEOSPACE TECHNOLOGIES CORP,8-K,2022-05-12,https://www.sec.gov/Archives/edgar/data/1001115/0001193125-22-148209.txt,False
54,1001171,BROADWAY FINANCIAL CORP \DE\,8-K,2022-05-11,https://www.sec.gov/Archives/edgar/data/1001171/0001140361-22-018669.txt,False
55,1001171,BROADWAY FINANCIAL CORP \DE\,8-K,2022-05-16,https://www.sec.gov/Archives/edgar/data/1001171/0001140361-22-019157.txt,False
56,1001171,BROADWAY FINANCIAL CORP \DE\,8-K,2022-06-08,https://www.sec.gov/Archives/edgar/data/1001171/0001140361-22-022257.txt,False
57,1001233,"SANGAMO THERAPEUTICS, INC",8-K,2022-04-01,https://www.sec.gov/Archives/edgar/data/1001233/0001628280-22-008157.txt,False
58,1001233,"SANGAMO THERAPEUTICS, INC",8-K,2022-05-05,https://www.sec.gov/Archives/edgar/data/1001233/0001628280-22-012622.txt,False
59,1001233,"SANGAMO THERAPEUTICS, INC",8-K,2022-05-25,https://www.sec.gov/Archives/edgar/data/1001233/0001628280-22-015378.txt,False
60,1001250,ESTEE LAUDER COMPANIES INC,8-K,2022-04-25,https://www.sec.gov/Archives/edgar/data/1001250/0001001250-22-000048.txt,False
61,1001250,ESTEE LAUDER COMPANIES INC,8-K,2022-05-03,https://www.sec.gov/Archives/edgar/data/1001250/0001001250-22-000053.txt,False
62,1001316,"TG THERAPEUTICS, INC.",8-K,2022-04-18,https://www.sec.gov/Archives/edgar/data/1001316/0001558370-22-005537.txt,False
63,1001316,"TG THERAPEUTICS, INC.",8-K,2022-06-23,https://www.sec.gov/Archives/edgar/data/1001316/0001558370-22-010227.txt,False
64,1001385,NORTHWEST PIPE CO,8-K,2022-04-13,https://www.sec.gov/Archives/edgar/data/1001385/0001437749-22-008852.txt,False
65,1001385,NORTHWEST PIPE CO,8-K,2022-05-04,https://www.sec.gov/Archives/edgar/data/1001385/0001437749-22-010861.txt,False
66,1001385,NORTHWEST PIPE CO,8-K,2022-06-16,https://www.sec.gov/Archives/edgar/data/1001385/0001437749-22-015116.txt,False
67,1001385,NORTHWEST PIPE CO,8-K,2022-06-23,https://www.sec.gov/Archives/edgar/data/1001385/0001437749-22-015752.txt,False
68,1001385,NORTHWEST PIPE CO,8-K,2022-06-29,https://www.sec.gov/Archives/edgar/data/1001385/0001437749-22-016170.txt,False
69,1001614,"Riley Exploration Permian, Inc.",8-K,2022-05-02,https://www.sec.gov/Archives/edgar/data/1001614/0001628280-22-011727.txt,True
70,1001614,"Riley Exploration Permian, Inc.",8-K,2022-05-11,https://www.sec.gov/Archives/edgar/data/1001614/0001628280-22-013832.txt,False
71,1001838,SOUTHERN COPPER CORP/,8-K,2022-04-27,https://www.sec.gov/Archives/edgar/data/1001838/0001104659-22-051151.txt,False
72,1001838,SOUTHERN COPPER CORP/,8-K,2022-05-03,https://www.sec.gov/Archives/edgar/data/1001838/0001104659-22-055165.txt,False
73,1001838,SOUTHERN COPPER CORP/,8-K,2022-06-01,https://www.sec.gov/Archives/edgar/data/1001838/0001104659-22-066703.txt,False
74,1001902,INTEVAC INC,8-K,2022-05-09,https://www.sec.gov/Archives/edgar/data/1001902/0001193125-22-144972.txt,False
75,1001902,INTEVAC INC,8-K,2022-05-19,https://www.sec.gov/Archives/edgar/data/1001902/0001193125-22-155011.txt,False
76,1001907,ASTROTECH Corp,8-K,2022-04-06,https://www.sec.gov/Archives/edgar/data/1001907/0001564590-22-013667.txt,False
77,1001907,ASTROTECH Corp,8-K,2022-04-26,https://www.sec.gov/Archives/edgar/data/1001907/0001564590-22-015593.txt,False
78,1001907,ASTROTECH Corp,8-K,2022-04-29,https://www.sec.gov/Archives/edgar/data/1001907/0001437749-22-010272.txt,False
79,1001907,ASTROTECH Corp,8-K,2022-05-13,https://www.sec.gov/Archives/edgar/data/1001907/0001437749-22-012246.txt,False
80,1001907,ASTROTECH Corp,8-K,2022-06-23,https://www.sec.gov/Archives/edgar/data/1001907/0001437749-22-015699.txt,False
81,1001907,ASTROTECH Corp,8-K,2022-06-23,https://www.sec.gov/Archives/edgar/data/1001907/0001437749-22-015764.txt,False
82,1002047,"NetApp, Inc.",8-K,2022-06-01,https://www.sec.gov/Archives/edgar/data/1002047/0000950170-22-011019.txt,False
83,1002590,"STAR GROUP, L.P.",8-K,2022-04-14,https://www.sec.gov/Archives/edgar/data/1002590/0001171843-22-002584.txt,False
84,1002590,"STAR GROUP, L.P.",8-K,2022-05-04,https://www.sec.gov/Archives/edgar/data/1002590/0001171843-22-003227.txt,False
85,1002638,OPEN TEXT CORP,8-K,2022-05-04,https://www.sec.gov/Archives/edgar/data/1002638/0001002638-22-000021.txt,False
86,1002910,AMEREN CORP,8-K,2022-04-01,https://www.sec.gov/Archives/edgar/data/1002910/0001104659-22-041583.txt,False
87,1002910,AMEREN CORP,8-K,2022-05-05,https://www.sec.gov/Archives/edgar/data/1002910/0001002910-22-000060.txt,False
88,1002910,AMEREN CORP,8-K,2022-05-13,https://www.sec.gov/Archives/edgar/data/1002910/0001104659-22-060492.txt,False
89,1002910,AMEREN CORP,8-K,2022-05-16,https://www.sec.gov/Archives/edgar/data/1002910/0001104659-22-061402.txt,False
90,1002910,AMEREN CORP,8-K,2022-06-23,https://www.sec.gov/Archives/edgar/data/1002910/0001104659-22-073737.txt,False
91,1003078,MSC INDUSTRIAL DIRECT CO INC,8-K,2022-06-21,https://www.sec.gov/Archives/edgar/data/1003078/0001003078-22-000067.txt,False
92,1003078,MSC INDUSTRIAL DIRECT CO INC,8-K,2022-06-29,https://www.sec.gov/Archives/edgar/data/1003078/0001003078-22-000073.txt,False
93,1003410,DUKE REALTY Ltd PARTNERSHIP/,8-K,2022-04-15,https://www.sec.gov/Archives/edgar/data/1003410/0001193125-22-106745.txt,False
94,1003410,DUKE REALTY Ltd PARTNERSHIP/,8-K,2022-04-27,https://www.sec.gov/Archives/edgar/data/1003410/0000783280-22-000030.txt,False
95,1003410,DUKE REALTY Ltd PARTNERSHIP/,8-K,2022-05-11,https://www.sec.gov/Archives/edgar/data/1003410/0000783280-22-000036.txt,False
96,1003410,DUKE REALTY Ltd PARTNERSHIP/,8-K,2022-06-13,https://www.sec.gov/Archives/edgar/data/1003410/0001193125-22-172478.txt,False
97,1003410,DUKE REALTY Ltd PARTNERSHIP/,8-K,2022-06-30,https://www.sec.gov/Archives/edgar/data/1003410/0001193125-22-185673.txt,True
98,1003509,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,8-K,2022-05-18,https://www.sec.gov/Archives/edgar/data/1003509/0001193125-22-154066.txt,False
99,1003509,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,8-K,2022-05-24,https://www.sec.gov/Archives/edgar/data/1003509/0001193125-22-158353.txt,False
100,100378,TWIN DISC INC,8-K,2022-05-04,https://www.sec.gov/Archives/edgar/data/100378/0001437749-22-010904.txt,False
101,1004155,SOUTHERN Co GAS,8-K,2022-04-28,https://www.sec.gov/Archives/edgar/data/1004155/0000092122-22-000016.txt,False
102,1004434,"AFFILIATED MANAGERS GROUP, INC.",8-K,2022-05-02,https://www.sec.gov/Archives/edgar/data/1004434/0001004434-22-000023.txt,False
103,1004434,"AFFILIATED MANAGERS GROUP, INC.",8-K,2022-05-27,https://www.sec.gov/Archives/edgar/data/1004434/0001193125-22-162415.txt,False
104,1004434,"AFFILIATED MANAGERS GROUP, INC.",8-K,2022-05-31,https://www.sec.gov/Archives/edgar/data/1004434/0001193125-22-163993.txt,False
105,1004702,OCEANFIRST FINANCIAL CORP,8-K,2022-04-19,https://www.sec.gov/Archives/edgar/data/1004702/0001004702-22-000083.txt,False
106,1004702,OCEANFIRST FINANCIAL CORP,8-K,2022-04-28,https://www.sec.gov/Archives/edgar/data/1004702/0001004702-22-000085.txt,False
107,1004702,OCEANFIRST FINANCIAL CORP,8-K,2022-05-31,https://www.sec.gov/Archives/edgar/data/1004702/0001004702-22-000099.txt,False
108,1004724,"REGIONAL HEALTH PROPERTIES, INC",8-K,2022-04-18,https://www.sec.gov/Archives/edgar/data/1004724/0001564590-22-014659.txt,False
109,1004724,"REGIONAL HEALTH PROPERTIES, INC",8-K,2022-05-03,https://www.sec.gov/Archives/edgar/data/1004724/0001564590-22-017231.txt,False
110,1004724,"REGIONAL HEALTH PROPERTIES, INC",8-K,2022-05-06,https://www.sec.gov/Archives/edgar/data/1004724/0001564590-22-018447.txt,False
111,1004724,"REGIONAL HEALTH PROPERTIES, INC",8-K,2022-05-31,https://www.sec.gov/Archives/edgar/data/1004724/0001564590-22-021902.txt,False
112,1004724,"REGIONAL HEALTH PROPERTIES, INC",8-K,2022-06-01,https://www.sec.gov/Archives/edgar/data/1004724/0001193125-22-164629.txt,False
113,1004724,"REGIONAL HEALTH PROPERTIES, INC",8-K,2022-06-17,https://www.sec.gov/Archives/edgar/data/1004724/0001564590-22-023569.txt,False
114,10048,BARNWELL INDUSTRIES INC,8-K,2022-05-06,https://www.sec.gov/Archives/edgar/data/10048/0001140361-22-018129.txt,False
115,10048,BARNWELL INDUSTRIES INC,8-K,2022-05-13,https://www.sec.gov/Archives/edgar/data/10048/0001140361-22-019088.txt,False
116,100493,"TYSON FOODS, INC.",8-K,2022-05-09,https://www.sec.gov/Archives/edgar/data/100493/0000100493-22-000063.txt,False
117,1004980,PG&E Corp,8-K,2022-04-04,https://www.sec.gov/Archives/edgar/data/1004980/0001193125-22-095125.txt,True
118,1004980,PG&E Corp,8-K,2022-04-11,https://www.sec.gov/Archives/edgar/data/1004980/0001308179-22-000229.txt,False
119,1004980,PG&E Corp,8-K,2022-04-21,https://www.sec.gov/Archives/edgar/data/1004980/0001193125-22-113240.txt,True
120,1004980,PG&E Corp,8-K,2022-04-21,https://www.sec.gov/Archives/edgar/data/1004980/0001308179-22-000249.txt,False
121,1004980,PG&E Corp,8-K,2022-04-28,https://www.sec.gov/Archives/edgar/data/1004980/0001004980-22-000069.txt,False
122,1004980,PG&E Corp,8-K,2022-05-11,https://www.sec.gov/Archives/edgar/data/1004980/0001193125-22-146523.txt,False
123,1004980,PG&E Corp,8-K,2022-05-23,https://www.sec.gov/Archives/edgar/data/1004980/0001308179-22-000327.txt,False
