,CIK,Company Name,Form Type,Date Filed,Filename,Is Loan Agreement
0,1000045,NICHOLAS FINANCIAL INC,8-K,2021-10-08,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-21-002063.txt,False
1,1000045,NICHOLAS FINANCIAL INC,8-K,2021-10-29,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-21-002494.txt,False
2,1000045,NICHOLAS FINANCIAL INC,8-K,2021-11-08,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-21-003298.txt,True
3,1000209,MEDALLION FINANCIAL CORP,8-K,2021-10-28,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-21-311451.txt,False
4,1000209,MEDALLION FINANCIAL CORP,8-K,2021-11-01,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-21-315521.txt,False
5,1000209,MEDALLION FINANCIAL CORP,8-K,2021-12-02,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-21-346095.txt,False
6,1000209,MEDALLION FINANCIAL CORP,8-K,2021-12-23,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-21-366178.txt,False
7,1000209,MEDALLION FINANCIAL CORP,8-K,2021-12-29,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-21-369380.txt,False
8,1000228,HENRY SCHEIN INC,8-K,2021-10-21,https://www.sec.gov/Archives/edgar/data/1000228/0001193125-21-303524.txt,False
9,1000228,HENRY SCHEIN INC,8-K,2021-11-02,https://www.sec.gov/Archives/edgar/data/1000228/0001000228-21-000078.txt,False
10,1000228,HENRY SCHEIN INC,8-K,2021-12-08,https://www.sec.gov/Archives/edgar/data/1000228/0001193125-21-350793.txt,False
11,1000229,CORE LABORATORIES N V,8-K,2021-10-19,https://www.sec.gov/Archives/edgar/data/1000229/0000950170-21-002178.txt,False
12,1000229,CORE LABORATORIES N V,8-K,2021-10-27,https://www.sec.gov/Archives/edgar/data/1000229/0000950170-21-002382.txt,False
13,1000230,OPTICAL CABLE CORP,8-K,2021-11-05,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-21-025534.txt,False
14,1000230,OPTICAL CABLE CORP,8-K,2021-12-21,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-21-029041.txt,False
15,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2021-10-14,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-21-126255.txt,False
16,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2021-11-12,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-21-137432.txt,False
17,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2021-11-24,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-21-143326.txt,False
18,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2021-11-03,https://www.sec.gov/Archives/edgar/data/1000623/0001000623-21-000130.txt,False
19,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2021-10-22,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-21-054119.txt,False
20,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2021-11-15,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-21-059423.txt,False
21,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2021-12-13,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-21-064761.txt,False
