,CIK,Company Name,Form Type,Date Filed,Filename,Is Loan Agreement
43,1001601,"MGT CAPITAL INVESTMENTS, INC.",8-K,2021-09-17,https://www.sec.gov/Archives/edgar/data/1001601/0001493152-21-022988.txt,False
44,1001614,"Riley Exploration Permian, Inc.",8-K,2021-07-02,https://www.sec.gov/Archives/edgar/data/1001614/0001140361-21-023293.txt,False
45,1001614,"Riley Exploration Permian, Inc.",8-K,2021-08-12,https://www.sec.gov/Archives/edgar/data/1001614/0001140361-21-028128.txt,False
46,1001614,"Riley Exploration Permian, Inc.",8-K,2021-09-03,https://www.sec.gov/Archives/edgar/data/1001614/0001001614-21-000007.txt,False
47,1001838,SOUTHERN COPPER CORP/,8-K,2021-07-23,https://www.sec.gov/Archives/edgar/data/1001838/0001104659-21-095489.txt,False
48,1001838,SOUTHERN COPPER CORP/,8-K,2021-07-27,https://www.sec.gov/Archives/edgar/data/1001838/0001104659-21-096273.txt,False
49,1001902,INTEVAC INC,8-K,2021-08-02,https://www.sec.gov/Archives/edgar/data/1001902/0001193125-21-233221.txt,False
50,1001907,ASTROTECH Corp,8-K,2021-09-08,https://www.sec.gov/Archives/edgar/data/1001907/0001564590-21-047375.txt,False
51,1001907,ASTROTECH Corp,8-K,2021-09-20,https://www.sec.gov/Archives/edgar/data/1001907/0001564590-21-048305.txt,False
52,1002047,"NetApp, Inc.",8-K,2021-08-25,https://www.sec.gov/Archives/edgar/data/1002047/0001564590-21-045712.txt,False
53,1002047,"NetApp, Inc.",8-K,2021-09-13,https://www.sec.gov/Archives/edgar/data/1002047/0001193125-21-271444.txt,False
54,1002517,"Nuance Communications, Inc.",8-K,2021-07-02,https://www.sec.gov/Archives/edgar/data/1002517/0001193125-21-207731.txt,False
55,1002517,"Nuance Communications, Inc.",8-K,2021-08-06,https://www.sec.gov/Archives/edgar/data/1002517/0001002517-21-000045.txt,False
56,1002517,"Nuance Communications, Inc.",8-K,2021-09-29,https://www.sec.gov/Archives/edgar/data/1002517/0001193125-21-286781.txt,False
57,1002590,"STAR GROUP, L.P.",8-K,2021-07-15,https://www.sec.gov/Archives/edgar/data/1002590/0001171843-21-004900.txt,False
58,1002590,"STAR GROUP, L.P.",8-K,2021-08-04,https://www.sec.gov/Archives/edgar/data/1002590/0001171843-21-005494.txt,False
59,1002590,"STAR GROUP, L.P.",8-K,2021-09-24,https://www.sec.gov/Archives/edgar/data/1002590/0001564590-21-048857.txt,False
60,1002638,OPEN TEXT CORP,8-K,2021-08-05,https://www.sec.gov/Archives/edgar/data/1002638/0001002638-21-000027.txt,False
61,1002638,OPEN TEXT CORP,8-K,2021-09-15,https://www.sec.gov/Archives/edgar/data/1002638/0001002638-21-000033.txt,False
62,1002771,"Integrated Cannabis Solutions, Inc.",8-K,2021-07-27,https://www.sec.gov/Archives/edgar/data/1002771/0001477932-21-004949.txt,False
63,1002771,"Integrated Cannabis Solutions, Inc.",8-K,2021-09-01,https://www.sec.gov/Archives/edgar/data/1002771/0001477932-21-006074.txt,False
64,1002910,AMEREN CORP,8-K,2021-08-05,https://www.sec.gov/Archives/edgar/data/1002910/0001002910-21-000102.txt,False
65,1002910,AMEREN CORP,8-K,2021-08-17,https://www.sec.gov/Archives/edgar/data/1002910/0001193125-21-249153.txt,False
66,1002910,AMEREN CORP,8-K,2021-08-25,https://www.sec.gov/Archives/edgar/data/1002910/0001193125-21-256442.txt,False
67,1002910,AMEREN CORP,8-K,2021-09-13,https://www.sec.gov/Archives/edgar/data/1002910/0001193125-21-271647.txt,False
68,1003078,MSC INDUSTRIAL DIRECT CO INC,8-K,2021-07-07,https://www.sec.gov/Archives/edgar/data/1003078/0001003078-21-000125.txt,False
69,1003078,MSC INDUSTRIAL DIRECT CO INC,8-K,2021-08-30,https://www.sec.gov/Archives/edgar/data/1003078/0001003078-21-000163.txt,True
70,1003201,"MMA Capital Holdings, Inc.",8-K,2021-08-03,https://www.sec.gov/Archives/edgar/data/1003201/0001104659-21-099553.txt,False
71,1003201,"MMA Capital Holdings, Inc.",8-K,2021-08-10,https://www.sec.gov/Archives/edgar/data/1003201/0001104659-21-102766.txt,False
72,1003201,"MMA Capital Holdings, LLC",8-K,2021-08-13,https://www.sec.gov/Archives/edgar/data/1003201/0001104659-21-104715.txt,False
73,1003410,DUKE REALTY Ltd PARTNERSHIP/,8-K,2021-07-29,https://www.sec.gov/Archives/edgar/data/1003410/0000783280-21-000047.txt,False
74,1003509,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,8-K,2021-07-28,https://www.sec.gov/Archives/edgar/data/1003509/0001193125-21-227205.txt,False
75,1003509,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,8-K,2021-09-16,https://www.sec.gov/Archives/edgar/data/1003509/0001193125-21-274943.txt,False
76,100378,TWIN DISC INC,8-K,2021-07-12,https://www.sec.gov/Archives/edgar/data/100378/0001437749-21-016785.txt,False
77,100378,TWIN DISC INC,8-K,2021-08-10,https://www.sec.gov/Archives/edgar/data/100378/0001437749-21-019303.txt,False
78,100378,TWIN DISC INC,8-K,2021-08-13,https://www.sec.gov/Archives/edgar/data/100378/0001437749-21-019799.txt,False
79,1004036,TANGER PROPERTIES LTD PARTNERSHIP /NC/,8-K,2021-07-14,https://www.sec.gov/Archives/edgar/data/1004036/0000899715-21-000150.txt,True
80,1004036,TANGER PROPERTIES LTD PARTNERSHIP /NC/,8-K,2021-08-06,https://www.sec.gov/Archives/edgar/data/1004036/0001193125-21-239403.txt,False
81,1004036,TANGER PROPERTIES LTD PARTNERSHIP /NC/,8-K,2021-08-11,https://www.sec.gov/Archives/edgar/data/1004036/0001193125-21-242234.txt,False
82,1004155,SOUTHERN Co GAS,8-K,2021-07-29,https://www.sec.gov/Archives/edgar/data/1004155/0000092122-21-000066.txt,False
83,1004155,SOUTHERN Co GAS,8-K,2021-09-10,https://www.sec.gov/Archives/edgar/data/1004155/0001004155-21-000013.txt,False
84,1004434,"AFFILIATED MANAGERS GROUP, INC.",8-K,2021-07-13,https://www.sec.gov/Archives/edgar/data/1004434/0001193125-21-214114.txt,False
85,1004434,"AFFILIATED MANAGERS GROUP, INC.",8-K,2021-07-21,https://www.sec.gov/Archives/edgar/data/1004434/0001193125-21-220682.txt,False
86,1004434,"AFFILIATED MANAGERS GROUP, INC.",8-K,2021-07-28,https://www.sec.gov/Archives/edgar/data/1004434/0001004434-21-000028.txt,False
87,1004702,OCEANFIRST FINANCIAL CORP,8-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/1004702/0001004702-21-000113.txt,False
88,1004702,OCEANFIRST FINANCIAL CORP,8-K,2021-07-29,https://www.sec.gov/Archives/edgar/data/1004702/0001004702-21-000116.txt,False
89,1004702,OCEANFIRST FINANCIAL CORP,8-K,2021-08-04,https://www.sec.gov/Archives/edgar/data/1004702/0001004702-21-000120.txt,False
90,1004702,OCEANFIRST FINANCIAL CORP,8-K,2021-09-07,https://www.sec.gov/Archives/edgar/data/1004702/0001004702-21-000128.txt,False
91,1004724,"REGIONAL HEALTH PROPERTIES, INC",8-K,2021-07-08,https://www.sec.gov/Archives/edgar/data/1004724/0001564590-21-036068.txt,False
92,1004724,"REGIONAL HEALTH PROPERTIES, INC",8-K,2021-08-17,https://www.sec.gov/Archives/edgar/data/1004724/0001564590-21-044754.txt,False
93,1004724,"REGIONAL HEALTH PROPERTIES, INC",8-K,2021-09-27,https://www.sec.gov/Archives/edgar/data/1004724/0001564590-21-049058.txt,False
94,10048,BARNWELL INDUSTRIES INC,8-K,2021-07-02,https://www.sec.gov/Archives/edgar/data/10048/0001140361-21-023352.txt,False
95,10048,BARNWELL INDUSTRIES INC,8-K,2021-07-13,https://www.sec.gov/Archives/edgar/data/10048/0001140361-21-024256.txt,False
96,10048,BARNWELL INDUSTRIES INC,8-K,2021-07-14,https://www.sec.gov/Archives/edgar/data/10048/0000899681-21-000030.txt,False
97,10048,BARNWELL INDUSTRIES INC,8-K,2021-07-15,https://www.sec.gov/Archives/edgar/data/10048/0000899681-21-000035.txt,False
98,10048,BARNWELL INDUSTRIES INC,8-K,2021-08-11,https://www.sec.gov/Archives/edgar/data/10048/0000899681-21-000039.txt,False
99,100493,"TYSON FOODS, INC.",8-K,2021-07-06,https://www.sec.gov/Archives/edgar/data/100493/0000100493-21-000095.txt,False
100,100493,"TYSON FOODS, INC.",8-K,2021-08-09,https://www.sec.gov/Archives/edgar/data/100493/0000100493-21-000102.txt,False
101,1004980,PG&E Corp,8-K,2021-07-02,https://www.sec.gov/Archives/edgar/data/1004980/0000950157-21-000736.txt,False
102,1004980,PG&E Corp,8-K,2021-07-09,https://www.sec.gov/Archives/edgar/data/1004980/0000950157-21-000748.txt,False
103,1004980,PG&E Corp,8-K,2021-07-29,https://www.sec.gov/Archives/edgar/data/1004980/0001004980-21-000030.txt,False
104,1004980,PG&E Corp,8-K,2021-07-30,https://www.sec.gov/Archives/edgar/data/1004980/0000950157-21-000789.txt,False
105,1004980,PG&E Corp,8-K,2021-08-09,https://www.sec.gov/Archives/edgar/data/1004980/0000950157-21-000825.txt,False
106,1004980,PG&E Corp,8-K,2021-08-24,https://www.sec.gov/Archives/edgar/data/1004980/0000950157-21-000864.txt,False
107,1004980,PG&E Corp,8-K,2021-09-16,https://www.sec.gov/Archives/edgar/data/1004980/0001387131-21-009486.txt,False
108,1004980,PG&E Corp,8-K,2021-09-27,https://www.sec.gov/Archives/edgar/data/1004980/0000950157-21-001049.txt,False
109,1004980,PG&E Corp,8-K,2021-09-27,https://www.sec.gov/Archives/edgar/data/1004980/0001387131-21-009638.txt,False
110,1004989,"SPAR Group, Inc.",8-K,2021-07-15,https://www.sec.gov/Archives/edgar/data/1004989/0001437749-21-016993.txt,False
111,1004989,"SPAR Group, Inc.",8-K,2021-07-30,https://www.sec.gov/Archives/edgar/data/1004989/0001437749-21-018009.txt,False
112,1004989,"SPAR Group, Inc.",8-K,2021-08-17,https://www.sec.gov/Archives/edgar/data/1004989/0001437749-21-020315.txt,False
113,1005101,CONCIERGE TECHNOLOGIES INC,8-K,2021-08-17,https://www.sec.gov/Archives/edgar/data/1005101/0001437749-21-020271.txt,False
114,100517,"United Airlines Holdings, Inc.",8-K,2021-07-09,https://www.sec.gov/Archives/edgar/data/100517/0000100517-21-000043.txt,False
115,100517,"United Airlines Holdings, Inc.",8-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/100517/0000100517-21-000049.txt,False
116,100517,"United Airlines Holdings, Inc.",8-K,2021-09-09,https://www.sec.gov/Archives/edgar/data/100517/0000100517-21-000060.txt,False
117,1005210,SUBURBAN PROPANE PARTNERS LP,8-K,2021-07-21,https://www.sec.gov/Archives/edgar/data/1005210/0001564590-21-037402.txt,False
118,1005210,SUBURBAN PROPANE PARTNERS LP,8-K,2021-07-22,https://www.sec.gov/Archives/edgar/data/1005210/0001564590-21-037499.txt,False
119,1005210,SUBURBAN PROPANE PARTNERS LP,8-K,2021-08-05,https://www.sec.gov/Archives/edgar/data/1005210/0001564590-21-041185.txt,False
120,1005229,COLUMBUS MCKINNON CORP,8-K,2021-07-19,https://www.sec.gov/Archives/edgar/data/1005229/0001005229-21-000164.txt,False
121,1005229,COLUMBUS MCKINNON CORP,8-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/1005229/0001005229-21-000166.txt,False
122,1005229,COLUMBUS MCKINNON CORP,8-K,2021-07-29,https://www.sec.gov/Archives/edgar/data/1005229/0001005229-21-000209.txt,False
123,1005276,MOHEGAN TRIBAL GAMING AUTHORITY,8-K,2021-07-20,https://www.sec.gov/Archives/edgar/data/1005276/0001193125-21-219720.txt,True
124,1005276,MOHEGAN TRIBAL GAMING AUTHORITY,8-K,2021-08-10,https://www.sec.gov/Archives/edgar/data/1005276/0001193125-21-241369.txt,False
125,1005276,MOHEGAN TRIBAL GAMING AUTHORITY,8-K,2021-09-01,https://www.sec.gov/Archives/edgar/data/1005276/0001193125-21-262777.txt,False
126,1005276,MOHEGAN TRIBAL GAMING AUTHORITY,8-K,2021-09-09,https://www.sec.gov/Archives/edgar/data/1005276/0001193125-21-268586.txt,False
127,1005276,MOHEGAN TRIBAL GAMING AUTHORITY,8-K,2021-09-28,https://www.sec.gov/Archives/edgar/data/1005276/0001193125-21-285469.txt,False
128,1005284,UNIVERSAL DISPLAY CORP \PA\,8-K,2021-08-05,https://www.sec.gov/Archives/edgar/data/1005284/0001564590-21-041607.txt,False
