,CIK,Company Name,Form Type,Date Filed,Filename,Is Loan Agreement
0,1000045,NICHOLAS FINANCIAL INC,8-K,2021-06-02,https://www.sec.gov/Archives/edgar/data/1000045/0001564590-21-031267.txt,False
1,1000045,NICHOLAS FINANCIAL INC,8-K,2021-06-11,https://www.sec.gov/Archives/edgar/data/1000045/0001564590-21-032560.txt,False
2,1000045,NICHOLAS FINANCIAL INC,8-K,2021-06-29,https://www.sec.gov/Archives/edgar/data/1000045/0001564590-21-034885.txt,False
3,1000209,MEDALLION FINANCIAL CORP,8-K,2021-04-30,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-21-142854.txt,False
4,1000209,MEDALLION FINANCIAL CORP,8-K,2021-05-03,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-21-147989.txt,False
5,1000209,MEDALLION FINANCIAL CORP,8-K,2021-06-21,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-21-195089.txt,False
6,1000228,HENRY SCHEIN INC,8-K,2021-05-04,https://www.sec.gov/Archives/edgar/data/1000228/0001000228-21-000033.txt,False
7,1000228,HENRY SCHEIN INC,8-K,2021-05-17,https://www.sec.gov/Archives/edgar/data/1000228/0001193125-21-162809.txt,False
8,1000229,CORE LABORATORIES N V,8-K,2021-04-21,https://www.sec.gov/Archives/edgar/data/1000229/0001564590-21-019844.txt,False
9,1000229,CORE LABORATORIES N V,8-K,2021-05-19,https://www.sec.gov/Archives/edgar/data/1000229/0001564590-21-028903.txt,False
10,1000230,OPTICAL CABLE CORP,8-K,2021-05-10,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-21-011504.txt,False
11,1000230,OPTICAL CABLE CORP,8-K,2021-05-17,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-21-012561.txt,False
12,1000230,OPTICAL CABLE CORP,8-K,2021-06-16,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-21-014916.txt,False
13,1000232,KENTUCKY BANCSHARES INC /KY/,8-K,2021-04-21,https://www.sec.gov/Archives/edgar/data/1000232/0001558370-21-004538.txt,False
